Customer_ID,Annual_Income,Spending_Score
1,31524,17
2,24800,27
3,33752,31
4,34703,35
5,20245,36
6,23489,36
7,30639,27
8,28419,26
9,29916,37
10,25735,28
11,34397,20
12,33889,21
13,30330,23
14,35636,34
15,32338,31
16,25704,36
17,31844,27
18,25206,31
19,34392,35
20,29750,28
21,29076,34
22,26595,25
23,36113,27
24,29227,27
25,27858,20
26,28239,34
27,32662,26
28,31827,30
29,32064,34
30,32154,34
31,40708,35
32,27968,29
33,27439,27
34,25931,29
35,33080,17
36,35645,18
37,29430,19
38,25799,22
39,25878,33
40,33253,23
41,33716,27
42,32716,40
43,26672,27
44,31161,36
45,30583,23
46,31093,28
47,34357,22
48,31118,27
49,33395,37
50,30338,16
51,31446,33
52,33156,32
53,22714,25
54,28402,18
55,27648,31
56,26806,26
57,28624,32
58,37475,30
59,25671,43
60,34841,28
61,52836,69
62,61255,54
63,61540,52
64,69514,67
65,65846,46
66,62498,48
67,70243,60
68,51679,52
69,55522,55
70,53514,54
71,57271,58
72,50363,66
73,64446,56
74,58444,60
75,49704,39
76,52891,55
77,62195,48
78,65867,45
79,73977,48
80,80397,52
81,62901,62
82,53073,44
83,45076,55
84,61874,51
85,54309,52
86,57092,63
87,55715,59
88,59014,66
89,67462,54
90,61099,49
91,58890,53
92,52750,57
93,48277,56
94,56596,46
95,59624,56
96,72376,57
97,60912,75
98,66879,70
99,56505,48
100,51705,53
101,53244,43
102,54923,50
103,74899,58
104,54250,65
105,65869,49
106,53680,50
107,66521,38
108,62695,54
109,58904,47
110,59715,51
111,55416,48
112,63123,54
113,56815,41
114,51421,43
115,51054,72
116,61208,45
117,71054,46
118,61120,70
119,59170,78
120,62001,46
121,69142,52
122,61536,58
123,57124,69
124,67744,47
125,63001,53
126,70750,61
127,61283,58
128,51429,52
129,50423,54
130,71556,44
131,88095,91
132,87869,84
133,91857,75
134,85557,73
135,93772,80
136,98102,71
137,91243,75
138,92814,82
139,90425,88
140,90001,84
141,84228,64
142,92532,82
143,89222,81
144,106745,83
145,102587,91
146,93087,66
147,83896,76
148,81101,84
149,99529,69
150,92102,90
151,93841,83
152,76043,86
153,97420,76
154,93635,86
155,81117,87
156,86228,82
157,92110,82
158,90420,82
159,87663,74
160,89172,79
161,87984,79
162,91221,83
163,101772,87
164,69467,73
165,88105,79
166,91412,90
167,92368,75
168,87025,74
169,75946,81
170,92624,86
171,103819,80
172,77729,89
173,96911,86
174,87372,86
175,89509,84
176,81577,96
177,87324,79
178,100400,66
179,94661,91
180,103858,77
181,99419,81
182,93513,89
183,103951,69
184,93512,71
185,96624,69
186,87627,74
187,90532,83
188,84421,84
189,97917,82
190,80574,70
191,96259,64
192,88475,80
193,99370,77
194,96007,83
195,104565,85
196,95846,81
197,77424,85
198,89464,82
199,80624,84
200,85854,75
